순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,요일코드,요일,시간대코드,시간대,유동인구수,시간당 평균 유동인구수,데이터생성일자
120,2021,1,3017052000,도마1동,m,남성,4,목요일,5,야간,27591.5,3941.65,20230104
121,2021,1,3017052000,도마1동,f,여성,5,금요일,1,출근,15270.04,7635.02,20230104
122,2021,1,3017052000,도마1동,m,남성,5,금요일,1,출근,18219.7,9109.85,20230104
123,2021,1,3017052000,도마1동,f,여성,5,금요일,2,주간,124703.58,13855.95,20230104
124,2021,1,3017052000,도마1동,m,남성,5,금요일,2,주간,133178.19,14797.58,20230104
125,2021,1,3017052000,도마1동,f,여성,5,금요일,3,퇴근,30429.49,15214.75,20230104
126,2021,1,3017052000,도마1동,m,남성,5,금요일,3,퇴근,33542.35,16771.18,20230104
127,2021,1,3017052000,도마1동,f,여성,5,금요일,4,저녁,59384.88,14846.22,20230104
128,2021,1,3017052000,도마1동,m,남성,5,금요일,4,저녁,64613.83,16153.46,20230104
129,2021,1,3017052000,도마1동,f,여성,5,금요일,5,야간,28018.96,4002.71,20230104
130,2021,1,3017052000,도마1동,m,남성,5,금요일,5,야간,34666.96,4952.42,20230104
131,2021,1,3017052000,도마1동,f,여성,6,토요일,1,출근,14514.23,7257.12,20230104
132,2021,1,3017052000,도마1동,m,남성,6,토요일,1,출근,17972.22,8986.11,20230104
133,2021,1,3017052000,도마1동,f,여성,6,토요일,2,주간,123032.12,13670.24,20230104
134,2021,1,3017052000,도마1동,m,남성,6,토요일,2,주간,136979.57,15219.95,20230104
135,2021,1,3017052000,도마1동,f,여성,6,토요일,3,퇴근,30097.07,15048.54,20230104
136,2021,1,3017052000,도마1동,m,남성,6,토요일,3,퇴근,34421.75,17210.88,20230104
137,2021,1,3017052000,도마1동,f,여성,6,토요일,4,저녁,58197.76,14549.44,20230104
138,2021,1,3017052000,도마1동,m,남성,6,토요일,4,저녁,64715.86,16178.97,20230104
139,2021,1,3017052000,도마1동,f,여성,6,토요일,5,야간,29543.3,4220.47,20230104
140,2021,1,3017052000,도마1동,m,남성,6,토요일,5,야간,37490.23,5355.75,20230104
141,2021,1,3017053000,도마2동,f,여성,0,일요일,1,출근,12682.11,6341.06,20230104
142,2021,1,3017053000,도마2동,m,남성,0,일요일,1,출근,16570.91,8285.46,20230104
143,2021,1,3017053000,도마2동,f,여성,0,일요일,2,주간,105655.1,11739.46,20230104
144,2021,1,3017053000,도마2동,m,남성,0,일요일,2,주간,122453.29,13605.92,20230104
145,2021,1,3017053000,도마2동,f,여성,0,일요일,3,퇴근,29937.25,14968.63,20230104
146,2021,1,3017053000,도마2동,m,남성,0,일요일,3,퇴근,33052.2,16526.1,20230104
147,2021,1,3017053000,도마2동,f,여성,0,일요일,4,저녁,60682.98,15170.74,20230104
148,2021,1,3017053000,도마2동,m,남성,0,일요일,4,저녁,65165.33,16291.33,20230104
149,2021,1,3017053000,도마2동,f,여성,0,일요일,5,야간,28924.06,4132.01,20230104
150,2021,1,3017053000,도마2동,m,남성,0,일요일,5,야간,37339.61,5334.23,20230104
151,2021,1,3017053000,도마2동,f,여성,1,월요일,1,출근,12281.08,6140.54,20230104
152,2021,1,3017053000,도마2동,m,남성,1,월요일,1,출근,13927.96,6963.98,20230104
153,2021,1,3017053000,도마2동,f,여성,1,월요일,2,주간,104510.01,11612.22,20230104
154,2021,1,3017053000,도마2동,m,남성,1,월요일,2,주간,105376.48,11708.5,20230104
