순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,연령대코드,연령대,유동인구수,시간당 평균 유동인구수,데이터생성일자
3968,2021,10월,3017053500,정림동,f,여성,10,10대,74368.06,16696.75,2022-11-15
3969,2021,06월,3017056000,괴정동,f,여성,10,10대,179757.14,39263.36,2022-11-15
3970,2021,01월,3017054000,변동,m,남성,20,20대,241344.03,53008.47,2022-11-15
3971,2021,01월,3017058100,갈마1동,m,남성,40,40대,300029.65,66806.75,2022-11-15
3972,2021,08월,3017058200,갈마2동,f,여성,30,30대,407158.1,90403.81,2022-11-15
3973,2021,09월,3017064000,둔산2동,m,남성,30,30대,1460127.69,301290.89,2022-11-15
3974,2021,06월,3017051000,복수동,m,남성,30,30대,232256.5,52212.11,2022-11-15
3975,2021,03월,3017059600,관저1동,m,남성,40,40대,520415.56,118016.59,2022-11-15
3976,2021,02월,3017065000,만년동,f,여성,60,60대,144338.17,31131.3,2022-11-15
3977,2021,08월,3017060000,기성동,m,남성,20,20대,32732.3,6815.56,2022-11-15
3978,2021,08월,3017058800,월평3동,f,여성,10,10대,98520.56,22238.03,2022-11-15
3979,2021,07월,3017055500,탄방동,f,여성,40,40대,1094408.85,229694.02,2022-11-15
3980,2021,02월,3017064000,둔산2동,f,여성,70,70세이상,187460.13,38915.56,2022-11-15
3981,2021,03월,3017053500,정림동,f,여성,20,20대,171319.64,38049.02,2022-11-15
3982,2021,08월,3017052000,도마1동,m,남성,20,20대,439929.77,96893.07,2022-11-15
3983,2021,04월,3017066000,둔산3동,m,남성,10,10대,144942.28,32400.42,2022-11-15
3984,2021,08월,3017055000,용문동,m,남성,50,50대,225175.59,49636.94,2022-11-15
3985,2021,01월,3017055000,용문동,f,여성,50,50대,258254.27,55268.51,2022-11-15
3986,2021,05월,3017054000,변동,f,여성,60,60대,264143.84,58811.88,2022-11-15
3987,2021,09월,3017055500,탄방동,m,남성,30,30대,1053967.57,226667.37,2022-11-15
3988,2021,10월,3017058600,월평1동,m,남성,70,70세이상,77614.03,16829.69,2022-11-15
3989,2021,08월,3017059600,관저1동,f,여성,10,10대,231018.17,51306.19,2022-11-15
3990,2021,02월,3017056000,괴정동,f,여성,60,60대,284163.78,61556.85,2022-11-15
3991,2021,11월,3017057000,가장동,f,여성,10,10대,76788.97,17142.37,2022-11-15
3992,2021,12월,3017060000,기성동,f,여성,60,60대,18482.55,3269.59,2022-11-15
3993,2021,02월,3017058100,갈마1동,m,남성,60,60대,252740.35,56793.28,2022-11-15
3994,2021,04월,3017058200,갈마2동,m,남성,40,40대,325412.77,72274.88,2022-11-15
3995,2021,03월,3017059700,관저2동,m,남성,70,70세이상,213563.36,46465.09,2022-11-15
3996,2021,09월,3017053000,도마2동,f,여성,50,50대,351765.42,77059.72,2022-11-15
3997,2021,06월,3017053000,도마2동,m,남성,40,40대,254410.11,56295.77,2022-11-15
3998,2021,03월,3017064000,둔산2동,m,남성,40,40대,1424670.37,294260.93,2022-11-15
3999,2021,03월,3017058700,월평2동,f,여성,50,50대,382103.48,83373.08,2022-11-15
4000,2021,06월,3017058200,갈마2동,f,여성,0,9세이하,19908.06,4452.53,2022-11-15
