사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021011800100066,2021년 1월 18일 08시,월요일,대전광역시 서구 가장동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,흐림,교차로 - 교차로부근,승용,여,52세,상해없음,보행자,여,54세,중상
2021011800100337,2021년 1월 18일 18시,월요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 젖음/습기,맑음,단일로 - 지하차도(도로)내,승용,여,51세,상해없음,승용,남,40세,경상
2021011800100389,2021년 1월 18일 19시,월요일,대전광역시 서구 관저동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,경상,승용,남,49세,경상
2021011800100454,2021년 1월 18일 21시,월요일,대전광역시 서구 괴정동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,62세,경상,이륜,남,51세,경상
2021011900100158,2021년 1월 19일 10시,화요일,대전광역시 서구 가수원동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 젖음/습기,흐림,교차로 - 교차로안,승용,여,31세,상해없음,승용,여,53세,경상
2021011900100357,2021년 1월 19일 16시,화요일,대전광역시 서구 가수원동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,29세,상해없음,보행자,여,65세,중상
2021011900100400,2021년 1월 19일 17시,화요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,승용,여,38세,경상
2021011900100452,2021년 1월 19일 18시,화요일,대전광역시 서구 관저동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,65세,상해없음,이륜,남,40세,경상
2021011900100453,2021년 1월 19일 18시,화요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,승용,남,34세,경상
2021011900100454,2021년 1월 19일 18시,화요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,29세,경상
