사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021021000100312,2021년 2월 10일 14시,수요일,충청남도 천안시 서북구 성정동,경상사고,0,0,2,1,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,28세,부상신고,승용,남,42세,경상
2021021000100313,2021년 2월 10일 14시,수요일,충청남도 천안시 동남구 삼룡동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승합,남,47세,상해없음,승용,여,30세,경상
2021021000100578,2021년 2월 10일 19시,수요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,보행자,남,21세,경상
2021021000100580,2021년 2월 10일 19시,수요일,충청남도 천안시 동남구 목천읍,경상사고,0,0,2,0,차대차 - 추돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,63세,경상,승용,남,54세,상해없음
2021021000100638,2021년 2월 10일 20시,수요일,충청남도 천안시 서북구 두정동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,부상신고,승용,남,45세,상해없음
2021021000100640,2021년 2월 10일 20시,수요일,충청남도 천안시 동남구 영성동,중상사고,0,1,0,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,기타불명,이륜,남,22세,중상
2021021000100695,2021년 2월 10일 21시,수요일,충청남도 천안시 동남구 봉명동,중상사고,0,2,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,이륜,남,17세,중상
2021021000100749,2021년 2월 10일 23시,수요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,화물,남,54세,경상
2021021000100750,2021년 2월 10일 23시,수요일,충청남도 천안시 동남구 원성동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승합,남,16세,상해없음,승용,남,25세,경상
2021021100100045,2021년 2월 11일 06시,목요일,충청남도 천안시 동남구 구성동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,승용,남,44세,경상
2021021100100067,2021년 2월 11일 09시,목요일,충청남도 천안시 서북구 성환읍,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,원동기,남,59세,중상
2021021200100022,2021년 2월 12일 05시,금요일,충청남도 천안시 동남구 목천읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,42세,상해없음,승용,남,54세,상해없음
2021021200100043,2021년 2월 12일 09시,금요일,충청남도 천안시 동남구 풍세면,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,남,30세,경상
2021021200100156,2021년 2월 12일 16시,금요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,71세,상해없음,승합,남,48세,상해없음
2021021200100157,2021년 2월 12일 16시,금요일,충청남도 천안시 서북구 직산읍,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,포장 - 건조,기타,교차로 - 교차로안,승용,여,63세,경상,승용,여,32세,경상
2021021300100083,2021년 2월 13일 12시,토요일,충청남도 천안시 서북구 두정동,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,52세,상해없음,이륜,남,36세,중상
2021021300100192,2021년 2월 13일 16시,토요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 추돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,59세,기타불명,이륜,남,35세,경상
2021021300100282,2021년 2월 13일 19시,토요일,충청남도 천안시 서북구 성거읍,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,31세,경상
2021021300100372,2021년 2월 13일 22시,토요일,충청남도 천안시 동남구 신방동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,이륜,남,54세,경상
2021021400100003,2021년 2월 14일 00시,일요일,충청남도 천안시 서북구 백석동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,개인형이동수단(PM),남,23세,부상신고,,,,
2021021400100054,2021년 2월 14일 11시,일요일,충청남도 천안시 동남구 신부동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,51세,상해없음,승용,남,61세,경상
2021021400100147,2021년 2월 14일 16시,일요일,충청남도 천안시 서북구 성거읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,56세,상해없음,보행자,여,83세,중상
2021021400100171,2021년 2월 14일 17시,일요일,충청남도 천안시 동남구 수신면,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,중상,승용,남,54세,경상
2021021400100200,2021년 2월 14일 18시,일요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,53세,상해없음,승합,남,50세,상해없음
2021021400100201,2021년 2월 14일 18시,일요일,충청남도 천안시 동남구 신방동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,58세,상해없음,승용,여,64세,경상
2021021500100175,2021년 2월 15일 13시,월요일,충청남도 천안시 서북구 입장면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,21세,상해없음,승용,여,64세,경상
2021021500100204,2021년 2월 15일 14시,월요일,충청남도 천안시 동남구 광덕면,중상사고,0,2,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,경상,승용,여,31세,중상
2021021500100279,2021년 2월 15일 16시,월요일,충청남도 천안시 동남구 봉명동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,56세,상해없음,승합,남,37세,경상
2021021500100347,2021년 2월 15일 18시,월요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,22세,상해없음,이륜,남,40세,경상
2021021500100349,2021년 2월 15일 18시,월요일,충청남도 천안시 동남구 신부동,경상사고,0,0,3,2,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,57세,경상,승용,남,19세,부상신고
2021021600100021,2021년 2월 16일 04시,화요일,충청남도 천안시 서북구 두정동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,56세,상해없음,보행자,여,59세,중상
2021021600100030,2021년 2월 16일 05시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,39세,상해없음,보행자,남,21세,경상
2021021600100068,2021년 2월 16일 08시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,74세,상해없음,승용,여,59세,경상
2021021600100246,2021년 2월 16일 14시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 서리/결빙,눈,교차로 - 교차로부근,승합,남,63세,상해없음,승용,여,30세,경상
2021021600100247,2021년 2월 16일 14시,화요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 서리/결빙,눈,기타 - 기타,승용,여,54세,상해없음,승용,여,49세,경상
2021021600100286,2021년 2월 16일 15시,화요일,충청남도 천안시 서북구 두정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,35세,기타불명,승용,남,44세,경상
2021021600100287,2021년 2월 16일 15시,화요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 적설,눈,기타 - 기타,승용,여,34세,상해없음,승용,여,34세,경상
2021021600100292,2021년 2월 16일 15시,화요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 서리/결빙,눈,단일로 - 기타,승용,남,27세,상해없음,승용,남,47세,경상
2021021700100078,2021년 2월 17일 08시,수요일,충청남도 천안시 서북구 백석동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,52세,기타불명,승용,남,28세,경상
2021021700100236,2021년 2월 17일 13시,수요일,충청남도 천안시 동남구 원성동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,60세,상해없음,승합,남,69세,경상
2021021700100406,2021년 2월 17일 18시,수요일,충청남도 천안시 동남구 영성동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,보행자,남,64세,중상
