사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021102800100475,2021년 10월 28일 17시,목요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,여,30세,중상
2021102900100033,2021년 10월 29일 06시,금요일,세종특별자치시 아름동,중상사고,0,1,0,1,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,31세,상해없음,승용,남,64세,중상
2021102900100412,2021년 10월 29일 16시,금요일,세종특별자치시 아름동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,기타,단일로 - 터널,승용,남,42세,상해없음,화물,남,61세,중상
2021102900100633,2021년 10월 29일 21시,금요일,세종특별자치시 고운동,중상사고,0,1,0,0,차량단독 - 기타,기타,포장 - 건조,기타,교차로 - 교차로부근,승용,여,57세,중상,,,,
2021103100100066,2021년 10월 31일 08시,일요일,세종특별자치시 연기면,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 기타,안개,기타 - 기타,승용,남,57세,경상,승용,남,36세,중상
2021103100100462,2021년 10월 31일 21시,일요일,세종특별자치시 소정면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로안,승합,남,50세,상해없음,보행자,남,20세,중상
2021110100100077,2021년 11월 1일 07시,월요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,34세,경상
2021110100100341,2021년 11월 1일 15시,월요일,세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,승용,남,36세,상해없음
2021110100100453,2021년 11월 1일 17시,월요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,15세,상해없음,승용,남,38세,경상
2021110200100050,2021년 11월 2일 05시,화요일,세종특별자치시 종촌동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,기타,교차로 - 교차로안,이륜,남,17세,중상,화물,남,47세,경상
2021110200100067,2021년 11월 2일 06시,화요일,세종특별자치시 보람동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,남,79세,부상신고
2021110200100189,2021년 11월 2일 10시,화요일,세종특별자치시 아름동,부상신고사고,0,0,0,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,이륜,여,20세,부상신고,승용,남,51세,상해없음
2021110200100222,2021년 11월 2일 11시,화요일,세종특별자치시 대평동,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,이륜,남,57세,부상신고,승용,남,59세,상해없음
